"UID","ENG_Place","Self_Place","AWPE","Category","GPA","interval","accurate"
"NAME0303","2","3",35,"H",3.96,FALSE,FALSE
"NAME0304","2","3",35,"H",3.66,FALSE,FALSE
"NAME0305","2","3",35,"H",3.85,FALSE,FALSE
"NAME0306","2","3",35,"H",4,FALSE,FALSE
"NAME0307","2","3",35,"H",3.44,FALSE,FALSE
"NAME0308","2","3",35,"H",4,FALSE,FALSE
"NAME0309","2","3",36,"H",3.5,FALSE,FALSE
"NAME0310","2","3",36,"H",3.84,FALSE,FALSE
"NAME0311","2","3",36,"H",3.96,FALSE,FALSE
"NAME0312","2","3",36,"H",3.5,FALSE,FALSE
"NAME0313","2","3",36,"H",3.91,FALSE,FALSE
"NAME0314","2","3",36,"H",3.58,FALSE,FALSE
"NAME0315","2","3",36,"H",3.87,FALSE,FALSE
"NAME0316","2","3",36,"H",4,FALSE,FALSE
"NAME0317","2","3",36,"H",3.83,FALSE,FALSE
"NAME0318","2","3",37,"H",3.92,FALSE,FALSE
"NAME0319","2","3",37,"H",3.68,FALSE,FALSE
"NAME0320","2","3",37,"H",3.9,FALSE,FALSE
"NAME0321","2","3",37,"H",3.46,FALSE,FALSE
"NAME0322","2","3",37,"H",4,FALSE,FALSE
"NAME0323","2","3",37,"H",4,FALSE,FALSE
"NAME0324","2","3",38,"H",4,FALSE,FALSE
"NAME0325","2","3",38,"H",4,FALSE,FALSE
"NAME0326","2","3",38,"H",3.78,FALSE,FALSE
"NAME0327","2","3",38,"H",3.82,FALSE,FALSE
"NAME0328","2","3",38,"H",3.8,FALSE,FALSE
"NAME0329","2","3",38,"H",3.91,FALSE,FALSE
"NAME0330","2","3",38,"H",3.96,FALSE,FALSE
"NAME0331","2","3",38,"H",3.58,FALSE,FALSE
"NAME0332","2","3",38,"H",3.96,FALSE,FALSE
"NAME0333","2","3",38,"H",3.97,FALSE,FALSE
"NAME0334","2","3",39,"H",4,FALSE,FALSE
"NAME0335","2","3",39,"H",4,FALSE,FALSE
"NAME0336","2","3",39,"H",3.96,FALSE,FALSE
"NAME0337","2","3",39,"H",3.95,FALSE,FALSE
"NAME0338","2","3",39,"H",3.95,FALSE,FALSE
"NAME0339","2","3",39,"H",4,FALSE,FALSE
"NAME0340","2","3",39,"H",0,FALSE,FALSE
"NAME0341","2","3",39,"H",3.96,FALSE,FALSE
"NAME0342","2","3",39,"H",3.93,FALSE,FALSE
"NAME0343","2","3",39,"H",4,FALSE,FALSE
"NAME0344","2","3",40,"H",3.62,FALSE,FALSE
"NAME0345","2","3",40,"H",2.96,FALSE,FALSE
"NAME0346","2","3",40,"H",3.28,FALSE,FALSE
"NAME0347","2","3",40,"H",4,FALSE,FALSE
"NAME0348","2","3",40,"H",3.79,FALSE,FALSE
"NAME0349","2","3",40,"H",3.33,FALSE,FALSE
"NAME0350","2","3",40,"H",3.94,FALSE,FALSE
"NAME0351","2","3",40,"H",4,FALSE,FALSE
"NAME0352","2","3",40,"H",4,FALSE,FALSE
"NAME0353","2","3",40,"H",4,FALSE,FALSE
"NAME0354","2","3",40,"H",3.91,FALSE,FALSE
"NAME0355","2","3",40,"H",4,FALSE,FALSE
"NAME0356","2","3",40,"H",4,FALSE,FALSE
"NAME0357","2","3",40,"H",3.96,FALSE,FALSE
"NAME0358","2","3",40,"H",3.8,FALSE,FALSE
"NAME0359","2","3",41,"H",3.96,TRUE,FALSE
"NAME0360","2","3",41,"H",3.5,TRUE,FALSE
"NAME0361","2","3",41,"H",4,TRUE,FALSE
"NAME0362","2","3",41,"H",3.08,TRUE,FALSE
"NAME0363","2","3",41,"H",4,TRUE,FALSE
"NAME0364","2","3",41,"H",3.83,TRUE,FALSE
"NAME0365","2","3",41,"H",3.6,TRUE,FALSE
"NAME0366","2","3",41,"H",4,TRUE,FALSE
"NAME0367","2","3",41,"H",3.65,TRUE,FALSE
"NAME0368","2","3",42,"H",4,TRUE,FALSE
"NAME0369","2","3",42,"H",4,TRUE,FALSE
"NAME0370","2","3",42,"H",4,TRUE,FALSE
"NAME0371","2","3",42,"H",3.45,TRUE,FALSE
"NAME0372","2","3",42,"H",3.51,TRUE,FALSE
"NAME0373","2","3",42,"H",3.89,TRUE,FALSE
"NAME0374","2","3",42,"H",3.88,TRUE,FALSE
"NAME0375","2","3",42,"H",3.96,TRUE,FALSE
"NAME0376","2","3",42,"H",3.95,TRUE,FALSE
"NAME0377","2","3",42,"H",4,TRUE,FALSE
"NAME0378","2","3",42,"H",3.88,TRUE,FALSE
"NAME0379","2","3",42,"H",3.95,TRUE,FALSE
"NAME0380","2","3",42,"H",3.73,TRUE,FALSE
"NAME0381","2","3",42,"H",4,TRUE,FALSE
"NAME0382","2","3",42,"H",3.96,TRUE,FALSE
"NAME0383","2","3",42,"H",3.96,TRUE,FALSE
"NAME0384","2","3",43,"H",3.88,TRUE,FALSE
"NAME0385","2","3",43,"H",4,TRUE,FALSE
"NAME0386","2","3",43,"H",4,TRUE,FALSE
"NAME0387","2","3",43,"H",4,TRUE,FALSE
"NAME0388","2","3",43,"H",3.93,TRUE,FALSE
"NAME0389","2","3",43,"H",4,TRUE,FALSE
"NAME0390","2","3",43,"H",3.88,TRUE,FALSE
"NAME0391","2","3",43,"H",4,TRUE,FALSE
"NAME0392","2","3",43,"H",3.9,TRUE,FALSE
"NAME0393","2","3",43,"H",3.77,TRUE,FALSE
"NAME0394","2","3",43,"H",3.59,TRUE,FALSE
"NAME0395","2","3",43,"H",4,TRUE,FALSE
"NAME0396","2","3",43,"H",4,TRUE,FALSE
"NAME0397","2","3",43,"H",0,TRUE,FALSE
"NAME0398","2","3",43,"H",4,TRUE,FALSE
"NAME0399","2","3",43,"H",4,TRUE,FALSE
"NAME0400","2","3",43,"H",3.93,TRUE,FALSE
"NAME0401","2","3",44,"H",4,TRUE,FALSE
"NAME0402","2","3",44,"H",4,TRUE,FALSE
"NAME0403","2","3",44,"H",3.95,TRUE,FALSE
"NAME0404","2","3",44,"H",3.4,TRUE,FALSE
"NAME0405","2","3",44,"H",4,TRUE,FALSE
"NAME0406","2","3",44,"H",4,TRUE,FALSE
"NAME0407","2","3",44,"H",3.23,TRUE,FALSE
"NAME0408","2","3",44,"H",3.77,TRUE,FALSE
"NAME0409","2","3",44,"H",4,TRUE,FALSE
"NAME0410","2","3",44,"H",3.95,TRUE,FALSE
"NAME0411","2","3",44,"H",4,TRUE,FALSE
"NAME0412","2","3",44,"H",2.33,TRUE,FALSE
"NAME0413","2","3",45,"H",4,TRUE,FALSE
"NAME0414","2","3",45,"H",3.81,TRUE,FALSE
"NAME0415","2","3",45,"H",4,TRUE,FALSE
"NAME0416","2","3",45,"H",3.95,TRUE,FALSE
"NAME0417","2","3",45,"H",3.92,TRUE,FALSE
"NAME0418","2","3",45,"H",3.96,TRUE,FALSE
"NAME0419","2","3",45,"H",3.63,TRUE,FALSE
